9	13	21	29	35	0	1	2	S
6	9	13	24	41	0	3	12	S
1	4	21	24	46	0	2	12	S
14	20	27	34	38	0	1	11	S
14	20	29	47	49	0	4	12	S
2	5	8	14	16	0	8	9	S
25	33	38	42	50	0	8	12	S
28	29	39	48	50	0	5	7	S
16	19	25	30	44	0	2	6	S
1	5	17	28	31	0	1	10	S
3	19	29	32	38	0	5	12	S
7	12	37	40	50	0	1	2	S
5	7	18	20	30	0	6	7	S
12	16	20	21	28	0	3	9	S
13	15	28	32	44	0	3	12	S
10	15	19	21	23	0	3	12	S
5	6	15	37	42	0	3	4	S
15	33	38	40	50	0	3	6	S
5	14	38	41	46	0	1	10	S
11	15	35	41	50	0	5	8	S
4	21	36	41	47	0	9	11	S
6	12	15	40	45	0	3	9	S
4	14	16	41	44	0	11	12	S
19	23	34	37	45	0	1	7	S
16	25	28	39	40	0	1	6	S
2	10	19	25	45	0	1	7	S
16	20	25	30	38	0	6	8	S
34	38	42	43	45	0	9	12	S
2	9	31	35	41	0	9	12	S
6	22	29	40	43	0	4	7	S
4	8	10	33	46	0	8	11	S
7	12	16	17	31	0	7	9	S
7	18	30	37	39	0	8	10	S
10	15	35	44	50	0	3	5	S
6	12	17	34	42	0	5	12	S
9	10	19	42	49	0	4	12	S
8	13	14	42	50	0	3	9	S
5	20	21	36	41	0	6	11	S
1	2	5	15	42	0	5	8	S
21	24	30	46	49	0	2	5	S
9	13	15	17	34	0	2	7	S
8	9	27	28	50	0	4	12	S
14	15	24	29	42	0	2	4	S
7	15	27	41	43	0	7	9	S
11	22	30	37	47	0	9	10	S
15	17	23	30	38	0	2	7	S
12	16	23	33	41	0	8	10	S
4	16	27	37	39	0	3	6	S
1	6	11	28	42	0	2	10	S
1	10	12	21	26	0	5	11	S
2	12	19	46	49	0	1	8	S
5	14	19	24	43	0	3	11	S
4	9	11	17	39	0	2	10	S
2	24	39	45	46	0	4	8	S
5	15	27	36	46	0	2	8	S
5	11	17	24	37	0	3	6	S
10	12	22	26	49	0	7	11	S
4	8	11	19	46	0	4	8	S
4	9	14	21	27	0	4	6	S
3	18	22	27	32	0	2	7	S
5	25	32	37	43	0	6	7	S
11	23	32	34	39	0	1	6	S
9	16	29	37	39	0	4	11	S
8	25	32	33	38	0	7	9	S
2	10	22	27	41	0	2	3	S
19	20	38	45	47	0	2	6	S
15	23	26	28	32	0	1	5	S
1	5	19	21	28	0	4	7	S
10	11	14	23	28	0	6	8	S
16	28	32	37	45	0	1	11	S
6	29	34	35	40	0	4	11	S
3	10	17	33	39	0	1	4	S
4	5	14	33	48	0	7	12	S
16	19	34	46	50	0	2	6	S
12	17	24	30	36	0	1	9	S
11	14	27	41	46	0	2	3	S
7	12	26	30	33	0	10	11	S
3	9	20	34	40	0	6	12	S
5	7	8	16	20	0	2	12	S
3	11	21	27	36	0	9	10	S
11	23	30	37	43	0	5	12	S
15	38	43	45	46	0	1	11	S
4	14	27	44	45	0	1	10	S
8	11	20	22	23	0	3	4	S
1	4	18	27	42	0	4	6	S
7	23	30	32	45	0	5	9	S
11	32	34	38	47	0	2	10	S
5	20	35	41	49	0	6	10	S
24	26	32	43	46	0	6	10	S
9	15	17	25	40	0	3	9	S
21	23	33	35	47	0	6	7	S
13	18	20	23	30	0	2	4	S
1	19	27	31	38	0	4	5	S
3	4	6	9	24	0	5	8	S
10	11	24	36	46	0	3	5	S
8	19	20	29	44	0	3	8	S
21	25	29	39	44	0	8	9	S
6	17	32	44	46	0	2	6	S
5	8	12	37	43	0	6	11	S
5	15	20	36	47	0	8	12	S
26	31	33	41	48	0	2	4	S
1	7	22	26	35	0	5	10	S
3	11	13	14	47	0	3	6	S
8	24	30	32	34	0	3	4	S
1	7	12	25	49	0	6	9	S
9	16	18	23	32	0	2	10	S
2	10	19	21	47	0	2	8	S
1	3	27	39	46	0	1	10	S
18	31	32	38	48	0	4	12	S
3	7	12	42	50	0	6	8	S
2	3	15	19	34	0	5	8	S
3	21	32	34	48	0	3	11	S
8	10	15	30	42	0	4	6	S
3	13	20	32	34	0	4	11	S
1	21	23	25	39	0	2	4	S
8	17	20	23	45	0	2	8	S
9	14	25	33	48	0	2	12	S
2	20	39	44	48	0	5	7	S
16	18	28	42	49	0	5	10	S
34	37	39	40	50	0	4	10	S
2	5	32	33	47	0	7	8	S
8	18	22	41	42	0	11	12	S
3	28	31	32	34	0	4	5	S
2	14	19	42	45	0	5	6	S
7	10	15	44	49	0	3	12	S
6	9	35	41	44	0	6	9	S
2	11	18	40	46	0	1	4	S
24	37	41	43	46	0	2	8	S
2	33	42	47	48	0	1	2	S
8	21	25	38	50	0	4	8	S
22	37	43	44	45	0	1	12	S
1	12	27	42	47	0	6	7	S
3	22	25	30	49	0	3	6	S
10	13	22	40	48	0	2	5	S
7	11	38	39	44	0	7	10	S
25	27	45	46	49	0	4	6	S
8	26	35	43	47	0	1	9	S
4	17	35	42	45	0	2	8	S
20	22	23	24	37	0	1	4	S
9	10	27	37	42	0	1	5	S
13	29	31	33	40	0	2	3	S
2	14	35	41	42	0	10	11	S
12	13	29	36	38	0	4	12	S
13	22	33	44	50	0	2	5	S
15	20	23	27	40	0	3	6	S
2	5	27	37	42	0	3	10	S
1	14	19	23	38	0	3	7	S
13	14	17	26	28	0	2	7	S
3	5	13	18	39	0	7	8	S
2	31	39	45	47	0	4	8	S
7	29	32	36	41	0	6	7	S
2	9	20	34	42	0	6	9	S
11	19	29	44	45	0	8	12	S
1	3	16	33	49	0	2	11	S
6	26	27	34	46	0	1	9	S
5	8	9	25	39	0	3	7	S
12	24	37	40	44	0	3	7	S
1	13	30	31	39	0	2	7	S
25	27	39	42	46	0	11	12	S
1	4	16	20	34	0	2	5	S
9	31	32	39	41	0	2	8	S
1	23	24	26	35	0	1	11	S
7	19	20	28	29	0	1	5	S
5	16	23	30	49	0	6	7	S
32	33	34	39	47	0	8	12	S
16	28	42	43	45	0	6	7	S
10	14	17	25	50	0	2	10	S
1	4	27	45	48	0	1	7	S
7	20	26	32	47	0	2	11	S
2	9	20	27	43	0	5	6	S
5	12	20	26	48	0	2	11	S
14	33	35	47	50	0	9	11	S
18	23	27	42	44	0	2	7	S
7	8	32	41	49	0	5	11	S
1	8	15	44	49	0	2	11	S
1	28	35	36	46	0	6	9	S
18	21	29	38	41	0	1	11	S
1	7	10	29	45	0	3	5	S
2	9	16	26	36	0	6	7	S
13	23	26	32	47	0	6	10	S
12	19	23	43	47	0	2	6	S
4	17	26	30	43	0	6	11	S
1	6	9	34	47	0	7	12	S
3	15	24	42	46	0	9	12	S
5	7	13	19	31	0	2	9	S
17	18	19	24	40	0	4	8	S
6	10	16	39	46	0	8	11	S
6	9	19	26	31	0	11	12	S
3	15	29	35	47	0	3	4	S
3	27	29	33	50	0	3	7	S
1	8	18	19	39	0	7	9	S
15	27	34	38	49	0	2	10	S
6	34	36	41	50	0	1	5	S
11	12	13	39	46	0	7	10	S
14	25	31	37	43	0	2	3	S
3	21	26	41	46	0	1	6	S
14	24	26	32	39	0	3	8	S
1	6	13	15	16	0	6	10	S
9	23	29	41	49	0	8	10	S
5	6	16	30	46	0	5	10	S
22	25	29	33	35	0	3	6	S
1	19	31	39	48	0	1	6	S
3	19	22	31	32	0	2	11	S
7	11	19	27	37	0	6	10	S
1	8	11	25	28	0	4	6	S
13	16	34	35	45	0	10	12	S
4	5	8	31	43	0	2	9	S
2	12	15	34	50	0	3	4	S
1	9	18	39	48	0	5	7	S
12	29	38	42	44	0	2	12	S
4	7	13	23	42	0	1	3	S
11	17	26	37	48	0	1	10	S
19	20	21	42	45	0	8	9	S
3	10	12	23	26	0	1	12	S
4	16	17	18	32	0	2	11	S
5	8	25	26	30	0	3	10	S
6	19	39	45	48	0	7	12	S
9	10	13	28	41	0	1	12	S
2	7	10	13	42	0	3	6	S
14	17	32	37	49	0	11	12	S
14	24	36	40	43	0	2	9	S
5	15	17	37	44	0	7	11	S
17	23	27	43	44	0	1	12	S
5	18	21	31	35	0	6	9	S
1	2	5	21	32	0	2	12	S
1	3	29	47	48	0	3	12	S
15	28	37	40	42	0	1	6	S
4	9	12	31	43	0	5	8	S
3	12	36	44	45	0	8	11	S
8	16	24	26	35	0	3	11	S
7	17	29	37	45	0	3	11	S
2	4	8	27	50	0	2	9	S
6	15	20	30	38	0	4	7	S
5	7	21	25	37	0	3	4	S
3	8	10	32	45	0	4	12	S
1	3	33	40	45	0	3	4	S
9	18	32	38	46	0	2	3	S
4	23	27	31	50	0	1	8	S
5	14	28	30	47	0	4	11	S
4	30	31	38	42	0	4	6	S
4	16	32	42	46	0	8	12	S
3	14	31	36	50	0	1	12	S
16	23	42	43	49	0	10	12	S
2	15	18	24	43	0	8	12	S
1	15	18	25	31	0	9	11	S
18	20	36	43	44	0	3	9	S
16	28	29	30	36	0	8	10	S
7	26	36	38	43	0	6	12	S
20	25	34	42	45	0	6	11	S
11	17	22	23	41	0	6	11	S
2	4	23	39	40	0	3	9	S
2	15	40	43	46	0	3	6	S
4	6	27	48	50	0	1	11	S
1	4	14	21	49	0	2	12	S
3	8	26	33	45	0	7	10	S
8	30	33	38	48	0	2	10	S
1	12	15	29	48	0	3	5	S
15	21	23	40	48	0	3	12	S
15	16	20	34	50	0	4	7	S
14	25	39	41	44	0	2	8	S
7	19	26	42	50	0	4	9	S
23	26	33	38	49	0	1	12	S
7	21	23	36	38	0	6	8	S
8	19	32	43	46	0	2	8	S
9	15	22	39	46	0	4	5	S
17	18	24	29	40	0	4	5	S
6	11	20	38	43	0	2	4	S
13	15	16	28	41	0	4	5	S
1	11	37	41	48	0	8	12	S
5	8	10	13	31	0	3	6	S
4	16	20	31	39	0	2	12	S
3	22	34	49	50	0	8	11	S
17	25	35	39	44	0	2	5	S
6	12	23	39	45	0	9	12	S
6	15	17	42	48	0	4	6	S
12	24	40	41	46	0	5	12	S
20	23	28	30	44	0	3	7	S
3	16	25	39	44	0	7	11	S
15	27	33	39	50	0	4	6	S
5	25	34	48	50	0	6	7	S
14	27	39	46	48	0	11	12	S
1	29	33	45	47	0	4	8	S
3	8	16	40	43	0	5	8	S
12	17	28	35	47	0	7	11	S
17	20	23	40	46	0	9	10	S
5	7	11	46	50	0	8	11	S
26	29	37	39	44	0	9	11	S
4	17	24	27	31	0	10	11	S
9	11	13	33	49	0	6	12	S
9	14	21	32	44	0	1	12	S
15	20	26	31	44	0	2	9	S
2	7	34	45	48	0	1	12	S
3	31	41	48	50	0	8	11	S
10	17	18	28	47	0	3	7	S
6	14	19	25	29	0	5	11	S
10	12	23	32	50	0	4	10	S
10	13	17	21	44	0	1	10	S
22	31	36	38	44	0	1	11	S
8	17	28	34	38	0	6	12	S
14	34	36	39	48	0	2	3	S
11	15	21	27	35	0	4	5	S
6	15	24	28	48	0	4	9	S
5	8	9	23	24	0	7	8	S
3	8	17	44	50	0	2	7	S
20	23	31	34	46	0	3	12	S
13	21	23	30	45	0	4	6	S
6	12	15	38	49	0	2	9	S
2	5	20	38	41	0	4	8	S
10	20	21	28	48	0	1	8	S
4	8	22	23	48	0	1	12	S
4	17	30	43	44	0	2	10	S
5	24	30	31	43	0	3	6	S
8	15	30	38	46	0	4	7	S
25	30	31	42	50	0	2	11	S
20	37	39	44	50	0	4	8	S
4	22	30	32	34	0	3	4	S
11	36	43	44	48	0	2	7	S
5	24	29	35	46	0	11	12	S
1	6	12	18	42	0	2	7	S
19	24	28	30	50	0	3	10	S
2	10	14	28	31	0	5	7	S
20	26	35	36	42	0	5	12	S
14	16	39	40	41	0	8	10	S
13	22	29	36	37	0	1	9	S
7	19	20	37	41	0	2	12	S
5	12	17	33	41	0	4	9	S
1	12	36	43	46	0	3	5	S
3	16	23	32	39	0	1	4	S
9	11	13	27	33	0	7	10	S
4	17	23	27	30	0	3	8	S
13	17	19	26	36	0	2	3	S
23	29	37	45	50	0	5	11	S
4	21	34	36	37	0	3	6	S
1	9	15	19	25	0	1	7	S
6	24	32	48	50	0	1	5	S
7	18	19	32	48	0	3	7	S
1	29	40	41	48	0	6	12	S
6	11	31	39	42	0	1	3	S
1	8	21	30	45	0	2	3	S
13	18	37	44	49	0	9	12	S
10	17	27	29	35	0	4	11	S
9	24	42	47	49	0	1	5	S
6	9	18	28	29	0	1	9	S
3	7	8	14	49	0	5	8	S
4	12	15	32	38	0	1	5	S
1	5	7	15	47	0	9	12	S
3	10	12	17	27	0	3	5	S
2	24	39	42	45	0	2	8	S
10	14	30	35	46	0	4	10	S
18	28	39	46	48	0	5	12	S
15	25	26	40	41	0	4	5	S
29	30	36	40	41	0	2	9	S
14	21	24	29	30	0	8	10	S
5	9	29	31	41	0	2	4	S
12	14	43	44	48	0	2	11	S
1	8	9	26	49	0	5	9	S
1	25	27	41	45	0	5	7	S
11	14	20	21	47	0	7	10	S
14	22	26	42	50	0	8	10	S
11	20	35	37	45	0	3	6	S
10	22	25	37	49	0	5	8	S
17	35	39	47	50	0	6	8	S
9	17	21	28	45	0	1	3	S
3	4	21	31	38	0	3	7	S
11	18	26	43	44	0	8	10	S
15	17	38	41	42	0	9	12	S
3	12	22	27	49	0	4	11	S
9	20	27	39	43	0	10	11	S
20	22	25	37	40	0	3	7	S
8	10	24	33	42	0	3	9	S
7	12	27	38	48	0	6	9	S
5	7	26	36	39	0	2	10	S
8	15	25	27	42	0	1	4	S
9	11	12	19	30	0	4	9	S
8	11	15	20	30	0	3	8	S
2	20	28	29	44	0	3	9	S
8	12	16	22	26	0	6	7	S
3	7	30	35	43	0	1	3	S
6	19	23	25	27	0	11	12	S
14	20	25	30	39	0	2	8	S
9	11	19	32	43	0	3	9	S
2	13	16	22	49	0	4	5	S
17	22	31	38	45	0	5	12	S
4	14	20	23	33	0	6	10	S
5	21	22	31	49	0	2	8	S
2	10	19	35	50	0	6	7	S
1	9	24	33	34	0	2	6	S
17	24	26	28	45	0	4	12	S
9	13	31	33	46	0	6	10	S
2	17	21	27	34	0	5	9	S
1	20	23	44	47	0	4	11	S
6	10	19	29	36	0	3	9	S
3	5	21	36	44	0	3	6	S
31	36	38	47	49	0	8	11	S
6	37	41	48	50	0	4	5	S
2	11	29	30	47	0	1	12	S
10	20	31	35	42	0	2	12	S
2	4	13	22	43	0	8	9	S
13	19	41	45	49	0	3	4	S
19	25	33	36	48	0	2	9	S
2	10	24	40	44	0	3	10	S
7	21	26	35	43	0	2	9	S
4	10	31	38	44	0	8	10	S
3	4	15	46	50	0	5	9	S
3	4	17	23	44	0	6	9	S
17	20	28	45	48	0	5	9	S
1	5	7	17	23	0	3	8	S
10	17	27	31	49	0	3	5	S
4	16	25	43	47	0	2	10	S
3	7	16	26	50	0	4	7	S
2	11	29	35	44	0	4	9	S
10	14	18	21	49	0	9	11	S
19	23	27	34	49	0	1	11	S
8	10	22	29	47	0	1	3	S
3	22	25	32	39	0	7	12	S
4	16	20	39	46	0	2	5	S
13	15	17	21	27	0	2	3	S
6	10	30	41	45	0	4	11	S
14	28	29	48	50	0	2	8	S
6	12	28	37	40	0	1	5	S
1	7	11	27	45	0	4	9	S
6	11	23	31	32	0	2	12	S
21	26	27	28	38	0	9	11	S
5	11	17	23	28	0	10	11	S
5	10	33	34	47	0	2	10	S
3	12	27	32	47	0	6	8	S
7	15	36	42	48	0	3	7	S
3	22	23	38	49	0	2	9	S
5	9	47	49	50	0	8	9	S
7	11	12	44	48	0	3	7	S
6	10	20	29	37	0	1	9	S
10	16	19	23	43	0	2	8	S
3	15	20	21	28	0	1	5	S
9	20	23	44	48	0	8	10	S
2	17	21	25	27	0	6	9	S
7	13	19	31	34	0	1	11	S
5	12	20	24	37	0	4	11	S
2	12	20	27	30	0	9	11	S
4	7	14	34	38	0	4	11	S
17	35	37	43	44	0	2	10	S
6	9	13	39	41	0	2	12	S
14	16	39	42	49	0	3	9	S
1	4	10	41	45	0	6	9	S
5	8	14	22	32	0	2	11	S
4	7	16	35	44	0	1	3	S
4	11	15	17	28	0	1	3	S
12	24	30	34	45	0	7	10	S
8	16	32	40	50	0	2	11	S
13	16	29	35	42	0	6	8	S
1	9	28	30	48	0	7	8	S
2	23	31	37	45	0	4	8	S
5	6	22	25	34	0	5	7	S
2	26	34	37	46	0	4	8	S
2	15	28	36	50	0	2	11	S
12	19	43	44	45	0	5	10	S
16	19	24	35	37	0	2	7	S
2	8	27	38	46	0	2	6	S
1	21	26	40	50	0	2	4	S
3	10	13	45	49	0	2	11	S
7	24	26	37	45	0	5	9	S
19	24	28	36	37	0	3	6	S
2	11	13	14	21	0	1	8	S
3	7	26	33	41	0	2	10	S
8	12	18	33	44	0	4	8	S
1	10	29	38	48	0	3	4	S
2	11	13	40	50	0	1	10	S
26	32	37	43	49	0	4	5	S
11	19	27	28	39	0	3	10	S
5	17	32	35	49	0	1	5	S
1	7	18	27	43	0	4	8	S
13	34	39	42	50	0	9	11	S
14	21	35	42	43	0	7	9	S
19	26	35	45	49	0	2	5	S
7	23	31	33	39	0	6	10	S
6	12	26	30	48	0	6	7	S
13	25	27	43	46	0	4	8	S
16	17	23	34	37	0	6	9	S
9	14	30	41	45	0	4	9	S
15	27	32	36	39	0	3	10	S
7	15	28	31	42	0	10	11	S
2	26	27	40	49	0	5	10	S
32	34	40	45	48	0	1	10	S
8	23	24	34	38	0	3	7	S
4	5	25	28	43	0	6	11	S
10	17	31	32	42	0	2	5	S
17	26	32	34	43	0	2	10	S
11	14	15	27	44	0	2	7	S
13	14	32	37	48	0	1	7	S
1	5	9	22	38	0	2	10	S
6	8	26	43	49	0	6	10	S
3	5	9	19	40	0	2	5	S
